Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181025.4333333333,451.9,1086.7499405720405,66,3526,451.9,787,3732,280.8889484170169,421.3334226255253,64240,66,449,66737,66681,6,4,3732,933.0,0.0023115972040689925,0.010848522186279297,0,9,2,2,2,1.9550323486328125e-05,0.0023115972040689925,0.0015822781456841363,0.007048845291137695,0.004574177524021555,131.16666666666666,131.16666666666666,317334.2894741248
192.168.56.1,192.168.56.101,80,66,3526,1222.0,1995.326539692188,1309743.9444444445,487.22222222222223,1144.4404503705925,60,3526,487.22222222222223,719,3666,613.6209889788355,1227.241977957671,64240,60,387,66246,66174,6,3,3666,1222.0,0.000987165158286169,0.003796100616455078,0,7,2,2,1,1.239776611328125e-05,0.000987165158286169,0.0006111264228820801,0.002895355224609375,0.001633063076343418,119.83333333333333,119.83333333333333,896909.3455573978
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181178.2333333334,448.3,1086.8202396594081,66,3526,448.3,751,3732,654.0314985186341,981.047247777951,64240,66,413,66737,66681,6,4,3732,933.0,0.0007014860264101875,0.0030448436737060547,0,9,2,2,2,1.1682510375976562e-05,0.0007014860264101875,0.0006795459323459201,0.0018432140350341797,0.0013183780366751766,125.16666666666667,125.16666666666667,733005.8019647591
192.168.56.1,192.168.56.101,80,66,3526,1222.0,1995.326539692188,1309187.0,490.0,1144.19709840569,60,3526,490.0,744,3666,590.5806814981695,1181.161362996339,64240,60,412,66246,66174,6,3,3666,1222.0,0.001282147084090334,0.004235982894897461,0,7,2,2,1,5.4836273193359375e-06,0.001282147084090334,0.0006349682807922363,0.0037682056427001953,0.0018215145927418337,124.0,124.0,868153.6018023092
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181575.288888889,444.8,1087.0028927693288,66,3526,444.8,716,3732,578.7242497412901,868.0863746119352,64240,66,378,66737,66681,6,4,3732,933.0,0.001169505707282482,0.0034570693969726562,0,9,2,2,2,5.0067901611328125e-06,0.001169505707282482,0.0007679727342393664,0.003430604934692383,0.0015967538828928049,119.33333333333333,119.33333333333333,643541.3657123146
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181228.9,447.7,1086.843548998659,66,3526,447.7,745,3732,334.520686698702,501.78103004805297,64240,66,407,66737,66681,6,4,3732,933.0,0.0014736904788331506,0.005852460861206055,0,9,2,2,2,2.2649765014648438e-05,0.0014736904788331506,0.0013286007775200738,0.004747152328491211,0.002285984382153102,124.16666666666667,124.16666666666667,374412.27858752216
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181104.0444444444,449.4,1086.7861079552151,66,3526,449.4,762,3732,475.8548940635902,713.7823410953853,64240,66,424,66737,66681,6,4,3732,933.0,0.0012670305924429215,0.0045621395111083984,0,9,2,2,2,1.0967254638671875e-05,0.0012670305924429215,0.0009339915381537543,0.003943204879760742,0.0018948030537140985,127.0,127.0,534622.9734804436
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181178.2333333334,448.3,1086.8202396594081,66,3526,448.3,751,3732,169.98881413633785,254.98322120450678,64240,66,413,66737,66681,6,4,3732,933.0,0.0065366598779323425,0.020107507705688477,0,9,2,2,2,5.9604644775390625e-06,0.0065366598779323425,0.0026145511203342015,0.020006418228149414,0.008651602495542345,125.16666666666667,125.16666666666667,190514.96344330063
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1181032.9,451.3,1086.753375886176,66,3526,451.3,781,3732,268.38392628615304,402.57588942922956,64240,66,443,66737,66681,6,4,3732,933.0,0.0028154034405946287,0.008820533752441406,0,9,2,2,2,1.2636184692382812e-05,0.0028154034405946287,0.001656002468532986,0.008140325546264648,0.0037431836416576157,130.16666666666666,130.16666666666666,302804.1648323522
192.168.56.1,192.168.56.101,80,66,3526,933.0,1728.6707803010574,1076437.8181818181,410.72727272727275,1037.515213470057,66,3526,410.72727272727275,786,3732,392.2934973227021,686.5136203147287,64240,66,382,67237,66681,7,4,3732,933.0,0.0018971281403053427,0.0062084197998046875,0,10,2,2,2,5.0067901611328125e-06,0.0018971281403053427,0.0010196447372436523,0.00557255744934082,0.0026611896610901353,112.28571428571429,112.28571428571429,443095.505225992
