Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,443,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,6990.506666666667,6990.506666666667,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0001430511474609375,0.0,0.0001430511474609375,0.0001430511474609375,0,60,60,796917.76
192.168.56.1,192.168.56.101,80,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,15709.003745318352,15709.003745318352,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,0,0,6.365776062011719e-05,0.0,6.365776062011719e-05,6.365776062011719e-05,0,60,60,1790826.426966292
192.168.56.1,192.168.56.101,445,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,99.1725344619677,99.1725344619677,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.010083436965942383,0.0,0.010083436965942383,0.010083436965942383,0,60,60,11305.668928664318
192.168.56.1,192.168.56.101,443,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,100.35420504845077,100.35420504845077,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.009964704513549805,0.0,0.009964704513549805,0.009964704513549805,0,60,60,11440.379375523387
192.168.56.1,192.168.56.101,23,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,100.50570305760567,100.50570305760567,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.009949684143066406,0.0,0.009949684143066406,0.009949684143066406,0,60,60,11457.650148567047
192.168.56.1,192.168.56.101,143,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,100.5346116970278,100.5346116970278,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.009946823120117188,0.0,0.009946823120117188,0.009946823120117188,0,60,60,11460.945733461169
192.168.56.1,192.168.56.101,3306,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,100.56112589608958,100.56112589608958,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00994420051574707,0.0,0.00994420051574707,0.00994420051574707,0,60,60,11463.968352154212
192.168.56.1,192.168.56.101,139,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,100.57318242854403,100.57318242854403,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.009943008422851562,0.0,0.009943008422851562,0.009943008422851562,0,60,60,11465.342796854018
192.168.56.1,192.168.56.101,256,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,165.73036194088826,165.73036194088826,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.006033897399902344,0.0,0.006033897399902344,0.006033897399902344,0,60,60,18893.26126126126
192.168.56.1,192.168.56.101,80,58,58,58,0,1.3333333333333333,59.333333333333336,1.1547005383792515,58,60,59.333333333333336,120,58,157.01946690625937,314.03893381251874,1024,60,60,1024,64240,2,1,58,58,0.004349217591536177,0.0063686370849609375,0,1,0,2,0,0.00010895729064941406,0.004349217591536177,0.0031843185424804688,0.0062596797943115234,0,60,60,27949.465109314166
192.168.56.1,192.168.56.101,3389,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,160.5721067340454,160.5721067340454,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.006227731704711914,0.0,0.006227731704711914,0.006227731704711914,0,60,60,18305.220167681175
192.168.56.1,192.168.56.101,111,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,1442.3328748280605,1442.3328748280605,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0006933212280273438,0.0,0.0006933212280273438,0.0006933212280273438,0,60,60,164425.9477303989
192.168.56.1,192.168.56.101,995,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,13981.013333333334,13981.013333333334,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,7.152557373046875e-05,0.0,7.152557373046875e-05,7.152557373046875e-05,0,60,60,1593835.52
192.168.56.1,192.168.56.101,25,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,14122.23569023569,14122.23569023569,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,7.081031799316406e-05,0.0,7.081031799316406e-05,7.081031799316406e-05,0,60,60,1609934.8686868686
192.168.56.1,192.168.56.101,1723,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,17549.38912133891,17549.38912133891,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.698204040527344e-05,0.0,5.698204040527344e-05,5.698204040527344e-05,0,60,60,2000630.359832636
192.168.56.1,192.168.56.101,587,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,17623.126050420167,17623.126050420167,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.6743621826171875e-05,0.0,5.6743621826171875e-05,5.6743621826171875e-05,0,60,60,2009036.3697478992
192.168.56.1,192.168.56.101,5900,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,17848.102127659575,17848.102127659575,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.602836608886719e-05,0.0,5.602836608886719e-05,5.602836608886719e-05,0,60,60,2034683.6425531914
192.168.56.1,192.168.56.101,135,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18724.571428571428,18724.571428571428,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.340576171875e-05,0.0,5.340576171875e-05,5.340576171875e-05,0,60,60,2134601.1428571427
192.168.56.1,192.168.56.101,1720,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18808.538116591928,18808.538116591928,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.316734313964844e-05,0.0,5.316734313964844e-05,5.316734313964844e-05,0,60,60,2144173.34529148
192.168.56.1,192.168.56.101,199,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,19152.07305936073,19152.07305936073,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.221366882324219e-05,0.0,5.221366882324219e-05,5.221366882324219e-05,0,60,60,2183336.328767123
192.168.56.1,192.168.56.101,21,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,17331.834710743802,17331.834710743802,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.7697296142578125e-05,0.0,5.7697296142578125e-05,5.7697296142578125e-05,0,60,60,1975829.1570247933
192.168.56.1,192.168.56.101,993,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,17403.7510373444,17403.7510373444,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.745887756347656e-05,0.0,5.745887756347656e-05,5.745887756347656e-05,0,60,60,1984027.6182572613
192.168.56.1,192.168.56.101,444,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18078.896551724138,18078.896551724138,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.53131103515625e-05,0.0,5.53131103515625e-05,5.53131103515625e-05,0,60,60,2060994.2068965517
192.168.56.1,192.168.56.101,22,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18893.26126126126,18893.26126126126,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.2928924560546875e-05,0.0,5.2928924560546875e-05,5.2928924560546875e-05,0,60,60,2153831.7837837837
192.168.56.1,192.168.56.101,8080,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18978.75113122172,18978.75113122172,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.269050598144531e-05,0.0,5.269050598144531e-05,5.269050598144531e-05,0,60,60,2163577.6289592762
192.168.56.1,192.168.56.101,110,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,19691.56807511737,19691.56807511737,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.078315734863281e-05,0.0,5.078315734863281e-05,5.078315734863281e-05,0,60,60,2244838.76056338
192.168.56.1,192.168.56.101,1025,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,19972.876190476192,19972.876190476192,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.0067901611328125e-05,0.0,5.0067901611328125e-05,5.0067901611328125e-05,0,60,60,2276907.8857142855
192.168.56.1,192.168.56.101,113,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,20262.338164251207,20262.338164251207,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,4.935264587402344e-05,0.0,4.935264587402344e-05,4.935264587402344e-05,0,60,60,2309906.5507246377
192.168.56.1,192.168.56.101,53,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,35544.94915254237,35544.94915254237,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,2.8133392333984375e-05,0.0,2.8133392333984375e-05,2.8133392333984375e-05,0,60,60,4052124.2033898304
192.168.56.1,192.168.56.101,1081,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,39945.752380952385,39945.752380952385,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,2.5033950805664062e-05,0.0,2.5033950805664062e-05,2.5033950805664062e-05,0,60,60,4553815.771428571
192.168.56.1,192.168.56.101,8888,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,41120.62745098039,41120.62745098039,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,2.4318695068359375e-05,0.0,2.4318695068359375e-05,2.4318695068359375e-05,0,60,60,4687751.529411765
192.168.56.1,192.168.56.101,554,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,42799.02040816326,42799.02040816326,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,2.3365020751953125e-05,0.0,2.3365020751953125e-05,2.3365020751953125e-05,0,60,60,4879088.326530612
