Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,2725.3437296946067,2725.3437296946067,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,0,0,0.0003669261932373047,0.0,0.0003669261932373047,0.0003669261932373047,0,60,60,310689.18518518517
192.168.56.1,192.168.56.101,443,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,756.8213641284734,756.8213641284734,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0013213157653808594,0.0,0.0013213157653808594,0.0013213157653808594,0,60,60,86277.63551064598
192.168.56.1,192.168.56.101,143,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,5256.020050125313,5256.020050125313,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00019025802612304688,0.0,0.00019025802612304688,0.00019025802612304688,0,60,60,599186.2857142857
192.168.56.1,192.168.56.101,8888,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,7667.831809872029,7667.831809872029,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0001304149627685547,0.0,0.0001304149627685547,0.0001304149627685547,0,60,60,874132.8263254113
192.168.56.1,192.168.56.101,23,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,8160.124513618677,8160.124513618677,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00012254714965820312,0.0,0.00012254714965820312,0.00012254714965820312,0,60,60,930254.1945525291
192.168.56.1,192.168.56.101,1720,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,8439.243460764588,8439.243460764588,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00011849403381347656,0.0,0.00011849403381347656,0.00011849403381347656,0,60,60,962073.754527163
192.168.56.1,192.168.56.101,993,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,8719.966735966736,8719.966735966736,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00011467933654785156,0.0,0.00011467933654785156,0.00011467933654785156,0,60,60,994076.207900208
192.168.56.1,192.168.56.101,110,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,3271.687987519501,3271.687987519501,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0003056526184082031,0.0,0.0003056526184082031,0.0003056526184082031,0,60,60,372972.4305772231
192.168.56.1,192.168.56.101,5900,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,3100.0029563932003,3100.0029563932003,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00032258033752441406,0.0,0.00032258033752441406,0.00032258033752441406,0,60,60,353400.33702882484
192.168.56.1,192.168.56.101,554,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,1258.7947178871548,1258.7947178871548,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0007944107055664062,0.0,0.0007944107055664062,0.0007944107055664062,0,60,60,143502.59783913565
192.168.56.1,192.168.56.101,139,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,18001.304721030043,18001.304721030043,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,5.555152893066406e-05,0.0,5.555152893066406e-05,5.555152893066406e-05,0,60,60,2052148.738197425
192.168.56.1,192.168.56.101,80,58,58,58,0,1.3333333333333333,59.333333333333336,1.1547005383792515,58,60,59.333333333333336,120,58,497.0732401042901,994.1464802085802,1024,60,60,1024,64240,2,1,58,58,0.001125152267846827,0.0020117759704589844,0,1,0,2,0,0.00021028518676757812,0.001125152267846827,0.0010058879852294922,0.0018014907836914062,0,60,60,88479.03673856363
192.168.56.1,192.168.56.101,111,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,2763.046113306983,2763.046113306983,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0003619194030761719,0.0,0.0003619194030761719,0.0003619194030761719,0,60,60,314987.25691699603
192.168.56.1,192.168.56.101,22,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,2841.669376693767,2841.669376693767,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.00035190582275390625,0.0,0.00035190582275390625,0.00035190582275390625,0,60,60,323950.30894308945
192.168.56.1,192.168.56.101,445,54,54,54,0,18.0,57.0,4.242640687119285,54,60,57.0,60,54,2985.26975088968,2985.26975088968,1024,60,60,1024,0,1,1,54,54,0.0,0.0,0,1,0,1,0,0.0003349781036376953,0.0,0.0003349781036376953,0.0003349781036376953,0,60,60,340320.7516014235
