Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.3820204696587663,4.227525587073458,64240,66,234,66248,66685,5,4,272,68,0.41658739228575076,1.1788628101348877,0,8,3,2,0,2.4557113647460938e-05,0.41658739228575076,0.14784061908721924,1.1788382530212402,0.5888158954371936,107.4,107.4,684.0136399884855
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.3917738463780944,4.239717307972618,64240,66,234,66248,66685,5,4,272,68,0.4137635909311658,1.1722102165222168,0,8,3,2,0,3.4809112548828125e-05,0.4137635909311658,0.14741548895835876,1.171419620513916,0.5849766602632687,107.4,107.4,685.9862604299695
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.402668840842047,4.253336051052559,64240,66,234,66248,66685,5,4,272,68,0.4126720339127095,1.1684975624084473,0,8,3,2,0,2.6702880859375e-05,0.4126720339127095,0.14694347977638245,1.168250560760498,0.5830999999572294,107.6,107.6,689.0404402705145
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.4180774178353825,4.272596772294229,64240,66,234,66248,66685,5,4,272,68,0.41296734718245326,1.1683285236358643,0,8,3,2,0,5.9604644775390625e-06,0.41296734718245326,0.14628106355667114,1.1683225631713867,0.5839025873483701,107.4,107.4,691.3061577572062
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.416764556854784,4.27095569606848,64240,66,234,66248,66685,5,4,272,68,0.41299444291569537,1.1684949398040771,0,8,3,2,0,1.5020370483398438e-05,0.41299444291569537,0.14633727073669434,1.1684460639953613,0.5839436804028179,107.4,107.4,691.0406316238801
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2970.4444444444443,89.77777777777777,54.50178386479148,66,234,89.77777777777777,536,272,3.4246121462858223,4.280765182857278,64240,66,234,66248,66685,5,4,272,68,0.4117307584238685,1.1650807857513428,0,8,3,2,0,6.9141387939453125e-06,0.4117307584238685,0.146001935005188,1.1649830341339111,0.582110740758186,107.2,107.2,691.7716535497361
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.4259863137927815,4.282482892240977,64240,66,234,66248,66685,5,4,272,68,0.4119745354448558,1.165788173675537,0,8,3,2,0,8.106231689453125e-06,0.4119745354448558,0.14594337344169617,1.1655280590057373,0.582619552706654,107.4,107.4,692.9057319645901
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4351792056498622,4.293974007062328,64240,66,234,66248,66685,5,4,272,68,0.41092911606495397,1.1626439094543457,0,8,3,2,0,1.0728836059570312e-05,0.41092911606495397,0.14555281400680542,1.1625502109527588,0.5811069919769946,107.6,107.6,695.6237891440971
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.429109385280221,4.286386731600276,64240,66,234,66248,66685,5,4,272,68,0.4117428251333621,1.1650502681732178,0,8,3,2,0,1.4066696166992188e-05,0.4117428251333621,0.14581045508384705,1.1648218631744385,0.582361225052611,107.6,107.6,694.3946505192447
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.439477194716759,4.299346493395949,64240,66,234,66248,66685,5,4,272,68,0.41020591214923285,1.160964012145996,0,8,3,2,0,7.867813110351562e-06,0.41020591214923285,0.14537093043327332,1.1605784893035889,0.5802836672560953,107.4,107.4,695.6342626314645
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2969.6111111111113,89.88888888888889,54.4941383188239,66,234,89.88888888888889,537,272,3.4331371536698407,4.291421442087301,64240,66,234,66248,66685,5,4,272,68,0.41115152363957874,1.1632232666015625,0,8,3,2,0,1.52587890625e-05,0.41115152363957874,0.14563938975334167,1.1631872653961182,0.5813979256579453,107.4,107.4,694.3519893297253
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.440878845379228,4.301098556724035,64240,66,234,66248,66685,5,4,272,68,0.41028854708739826,1.1607944965362549,0,8,3,2,0,6.9141387939453125e-06,0.41028854708739826,0.14531171321868896,1.1607239246368408,0.5801736160102279,107.6,107.6,696.7779661892937
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2970.4444444444443,89.77777777777777,54.50178386479148,66,234,89.77777777777777,536,272,3.4458081401522365,4.3072601751902955,64240,66,234,66248,66685,5,4,272,68,0.4096512824262908,1.1589961051940918,0,8,3,2,0,2.384185791015625e-05,0.4096512824262908,0.1451038420200348,1.1589388847351074,0.5792862823385236,107.2,107.2,696.0532443107518
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4380611855123355,4.297576481890419,64240,66,234,66248,66685,5,4,272,68,0.4107552619688639,1.1620357036590576,0,8,3,2,0,1.9788742065429688e-05,0.4107552619688639,0.1454308032989502,1.1619980335235596,0.5808069233724684,107.6,107.6,696.207390066248
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4452816759250875,4.306602094906359,64240,66,234,66248,66685,5,4,272,68,0.40990456151295673,1.159621238708496,0,8,3,2,0,6.67572021484375e-06,0.40990456151295673,0.14512601494789124,1.1595878601074219,0.5795979880116449,107.6,107.6,697.6695393748302
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.447445169231275,4.3093064615390935,64240,66,234,66248,66685,5,4,272,68,0.40968064535555576,1.1589865684509277,0,8,3,2,0,5.9604644775390625e-06,0.40968064535555576,0.14503493905067444,1.158942699432373,0.5792974081683093,107.6,107.6,698.1076467693332
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4479134812359638,4.309891851544954,64240,66,234,66248,66685,5,4,272,68,0.4094632015848642,1.1584036350250244,0,8,3,2,0,6.67572021484375e-06,0.4094632015848642,0.14501523971557617,1.1583847999572754,0.5790022482421013,107.6,107.6,698.2024799502826
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4454196449437777,4.306774556179723,64240,66,234,66248,66685,5,4,272,68,0.409780327563934,1.1593050956726074,0,8,3,2,0,1.1682510375976562e-05,0.409780327563934,0.14512020349502563,1.1592745780944824,0.5793989893560983,107.6,107.6,697.697478101115
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.4481324483439333,4.310165560429916,64240,66,234,66248,66685,5,4,272,68,0.4097200633221895,1.1590259075164795,0,8,3,2,0,6.67572021484375e-06,0.4097200633221895,0.14500603079795837,1.1590113639831543,0.5793647510312968,107.4,107.4,697.3847876775606
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4587234491710057,4.323404311463757,64240,66,234,66248,66685,5,4,272,68,0.40835350947171617,1.1552252769470215,0,8,3,2,0,1.1682510375976562e-05,0.40835350947171617,0.1445620059967041,1.1551852226257324,0.577421882852684,107.6,107.6,700.3914984571286
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.4580511864134986,4.322563983016873,64240,66,234,66248,66685,5,4,272,68,0.40848433290942765,1.1555533409118652,0,8,3,2,0,1.430511474609375e-05,0.40848433290942765,0.1445901095867157,1.1555371284484863,0.5776010839064126,107.6,107.6,700.2553652487335
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.464544477223345,4.330680596529181,64240,66,234,66248,66685,5,4,272,68,0.4075025038899591,1.1528511047363281,0,8,3,2,0,7.62939453125e-06,0.4075025038899591,0.14431911706924438,1.1528360843658447,0.5762798071830666,107.4,107.4,700.7041205184215
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.46420038542011,4.3302504817751375,64240,66,234,66248,66685,5,4,272,68,0.40723191224171773,1.1525423526763916,0,8,3,2,0,2.5987625122070312e-05,0.40723191224171773,0.14433345198631287,1.1521809101104736,0.576022844823036,107.6,107.6,701.5005780475723
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2966.25,90.0,54.46329038903177,66,234,90.0,538,272,3.449433360198694,4.311791700248367,64240,66,234,66248,66685,5,4,272,68,0.40934449836322945,1.1584115028381348,0,8,3,2,0,6.67572021484375e-06,0.40934449836322945,0.14495134353637695,1.158027172088623,0.5790132185546131,107.6,107.6,698.5102554402355
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.4604384389389087,4.325548048673636,64240,66,234,66248,66685,5,4,272,68,0.4079472723370917,1.1541433334350586,0,8,3,2,0,1.6689300537109375e-05,0.4079472723370917,0.14449036121368408,1.1541080474853516,0.5767971861635104,107.4,107.4,699.8736742753943
192.168.56.1,192.168.56.101,80,66,74,68,4.0,2967.1111111111113,89.88888888888889,54.47119524217466,66,234,89.88888888888889,537,272,3.4710492728724347,4.338811591090543,64240,66,234,66248,66685,5,4,272,68,0.40628058139319784,1.1495792865753174,0,8,3,2,0,5.9604644775390625e-06,0.40628058139319784,0.14404866099357605,1.1495413780212402,0.5744907034020943,107.4,107.4,702.0197154384499
