Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,66,66,0.0,50.0,71.0,7.0710678118654755,66,76,71.0,76,66,1924.8756310234053,1924.8756310234053,502,76,76,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0005195140838623047,0.0,0.0005195140838623047,0.0005195140838623047,0,76,76,273332.33960532356
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,2198.272536687631,2198.272536687631,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00045490264892578125,0.0,0.00045490264892578125,0.00045490264892578125,0,77,77,314352.97274633124
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,2264.742980561555,2264.742980561555,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00044155120849609375,0.0,0.00044155120849609375,0.00044155120849609375,0,77,77,323858.24622030236
192.168.56.1,192.168.56.101,80,66,66,66,0.0,40.5,70.5,6.363961030678928,66,75,70.5,75,66,2291.969398907104,2291.969398907104,502,75,75,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0004363059997558594,0.0,0.0004363059997558594,0.0004363059997558594,0,75,75,323167.68524590164
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,5391.136246786632,5391.136246786632,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00018548965454101562,0.0,0.00018548965454101562,0.00018548965454101562,0,77,77,770932.4832904885
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,6000.434907010014,6000.434907010014,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0001666545867919922,0.0,0.0001666545867919922,0.0001666545867919922,0,77,77,858062.191702432
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,6297.753753753754,6297.753753753754,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00015878677368164062,0.0,0.00015878677368164062,0.00015878677368164062,0,77,77,900578.7867867867
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,2884.665749656121,2884.665749656121,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0003466606140136719,0.0,0.0003466606140136719,0.0003466606140136719,0,77,77,412507.2022008253
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,9915.612293144208,9915.612293144208,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00010085105895996094,0.0,0.00010085105895996094,0.00010085105895996094,0,77,77,1417932.5579196217
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,13400.332268370606,13400.332268370606,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,7.462501525878906e-05,0.0,7.462501525878906e-05,7.462501525878906e-05,0,77,77,1916247.5143769968
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,14614.299651567944,14614.299651567944,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,6.842613220214844e-05,0.0,6.842613220214844e-05,6.842613220214844e-05,0,77,77,2089844.850174216
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,15307.678832116788,15307.678832116788,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,6.532669067382812e-05,0.0,6.532669067382812e-05,6.532669067382812e-05,0,77,77,2188998.0729927006
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,16448.250980392157,16448.250980392157,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,6.079673767089844e-05,0.0,6.079673767089844e-05,6.079673767089844e-05,0,77,77,2352099.8901960785
192.168.56.1,192.168.56.101,80,66,66,66,0.0,40.5,70.5,6.363961030678928,66,75,70.5,75,66,16912.516129032258,16912.516129032258,502,75,75,502,508,1,1,66,66,0.0,0,0,2,1,0,0,5.91278076171875e-05,0.0,5.91278076171875e-05,5.91278076171875e-05,0,75,75,2384664.7741935486
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,17331.834710743802,17331.834710743802,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,5.7697296142578125e-05,0.0,5.7697296142578125e-05,5.7697296142578125e-05,0,77,77,2478452.3636363638
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,17848.102127659575,17848.102127659575,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,5.602836608886719e-05,0.0,5.602836608886719e-05,5.602836608886719e-05,0,77,77,2552278.604255319
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,15534.45925925926,15534.45925925926,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,6.437301635742188e-05,0.0,6.437301635742188e-05,6.437301635742188e-05,0,77,77,2221427.6740740743
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,16070.130268199233,16070.130268199233,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,6.222724914550781e-05,0.0,6.222724914550781e-05,6.222724914550781e-05,0,77,77,2298028.6283524903
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,5071.7097944377265,5071.7097944377265,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0001971721649169922,0.0,0.0001971721649169922,0.0001971721649169922,0,77,77,725254.5006045949
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,4788.018264840182,4788.018264840182,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00020885467529296875,0.0,0.00020885467529296875,0.00020885467529296875,0,77,77,684686.6118721461
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,1490.5131485429993,1490.5131485429993,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0006709098815917969,0.0,0.0006709098815917969,0.0006709098815917969,0,77,77,213143.3802416489
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,1467.5661301609516,1467.5661301609516,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0006814002990722656,0.0,0.0006814002990722656,0.0006814002990722656,0,77,77,209861.95661301608
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,1469.622985283812,1469.622985283812,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0006804466247558594,0.0,0.0006804466247558594,0.0006804466247558594,0,77,77,210156.08689558515
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,1472.2021762021761,1472.2021762021761,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.0006792545318603516,0.0,0.0006792545318603516,0.0006792545318603516,0,77,77,210524.91119691118
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,14217.979661016949,14217.979661016949,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,7.033348083496094e-05,0.0,7.033348083496094e-05,7.033348083496094e-05,0,77,77,2033171.0915254238
192.168.56.1,192.168.56.101,80,66,66,66,0.0,60.5,71.5,7.7781745930520225,66,77,71.5,77,66,7096.961082910321,7096.961082910321,502,77,77,502,508,1,1,66,66,0.0,0,0,2,1,0,0,0.00014090538024902344,0.0,0.00014090538024902344,0.00014090538024902344,0,77,77,1014865.434856176
