Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.56.1,192.168.56.101,80,66,559,189.25,246.5,56764.9,250.3,238.25385621223427,66,559,250.3,1746,757,0.6795588793308207,1.019338318996231,502,66,516,3009,2024,6,4,757,189.25,1.6416416969616892,5.066551446914673,0,10,4,0,2,0.0006644725799560547,1.6416416969616892,0.6540190378824869,5.014775276184082,2.179728348245244,291.0,291.0,425.2339687412611
192.168.56.101,192.168.56.1,52216,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.00640215588278,9.00640215588278,506,66,66,1012,1002,2,2,132,66.0,0.10250633063939842,0.22206425666809082,0,4,0,0,2,0.0005953311920166016,0.10250633063939842,0.0740214188893636,0.1911334991455078,0.0,66.0,66.0,1188.845084576527
192.168.56.101,192.168.56.1,52174,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.00836553186097,9.00836553186097,506,66,66,1012,1002,2,2,132,66.0,0.10256866797019476,0.2220158576965332,0,4,0,0,2,0.0005383491516113281,0.10256866797019476,0.0740052858988444,0.19118928909301758,0.0,66.0,66.0,1189.1042502056482
192.168.56.101,192.168.56.1,52172,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.00944914025497,9.00944914025497,506,66,66,1012,1002,2,2,132,66.0,0.08445561678380226,0.22198915481567383,0,4,0,0,2,0.0005469322204589844,0.08445561678380226,0.07399638493855794,0.16627860069274902,0.0,66.0,66.0,1189.247286513656
192.168.56.101,192.168.56.1,52166,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.02064877722505,9.02064877722505,506,66,66,1012,1002,2,2,132,66.0,0.10174775204128475,0.22171354293823242,0,4,0,0,2,0.0012159347534179688,0.10174775204128475,0.07390451431274414,0.190185546875,0.0,66.0,66.0,1190.7256385937067
192.168.56.101,192.168.56.1,52210,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.0230745070368,9.0230745070368,507,66,66,1014,1002,2,2,132,66.0,0.08368930390228614,0.22165393829345703,0,4,0,0,2,0.0012178421020507812,0.08368930390228614,0.07388464609781902,0.16538643836975098,0.0,66.0,66.0,1191.0458349288576
192.168.56.101,192.168.56.1,50192,66,66,66.0,0.0,40508.166666666664,148.16666666666666,201.26640719868448,66,559,148.16666666666666,691,198,8.706065990269176,8.706065990269176,507,66,559,1521,1503,3,3,198,66.0,0.11028821171488874,0.3152577877044678,0,6,1,0,2,0.00010728836059570312,0.11028821171488874,0.06891746520996093,0.26224851608276367,0.20256365450214825,230.33333333333334,230.33333333333334,2579.897555116432
192.168.56.101,192.168.56.1,52127,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.013553734637346,9.013553734637346,504,66,66,1008,1002,2,2,132,66.0,0.09578806197157996,0.22188806533813477,0,4,0,0,2,0.000537872314453125,0.09578806197157996,0.07396268844604492,0.1823127269744873,0.0,66.0,66.0,1189.7890929721295
192.168.56.101,192.168.56.1,52214,66,66,66.0,0.0,0.0,66.0,0.0,66,66,66.0,132,132,9.02455969730972,9.02455969730972,507,66,66,1014,1002,2,2,132,66.0,0.07599702024389458,0.2216174602508545,0,4,0,0,2,0.0012164115905761719,0.07599702024389458,0.07387248675028484,0.15281939506530762,0.0,66.0,66.0,1191.241880044883
192.168.56.101,192.168.56.1,52548,66,66,66.0,0.0,48609.8,164.6,220.47630258147927,66,559,164.6,625,198,9.671567176855715,6.447711451237144,507,66,559,1014,1503,2,3,198,66.0,0.14656577552596753,0.29904985427856445,0,5,1,0,2,8.7738037109375e-05,0.14656577552596753,0.07754689455032349,0.2972738742828369,0.0,312.5,312.5,2653.2332621840847
