Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
192.168.0.107,85.10.198.55,80,66,598,156.0,216.5585371210288,25361.090909090908,122.9090909090909,159.2516590465886,66,598,122.9090909090909,416,936,11.992280207500398,9.993566839583664,64240,66,144,66246,67705,5,6,936,156.0,0.0806400757067606,0.1794888973236084,0,10,2,2,2,1.3828277587890625e-05,0.0806400757067606,0.050032186508178714,0.17940235137939453,0.09849166887496297,83.2,83.2,2702.260473423423
192.168.0.107,31.209.137.48,61613,66,89,77.5,11.74734012447073,135.06382978723406,77.5,11.621696510717962,66,89,77.5,1860,1860,0.10900058046810002,0.10900058046810002,612,66,89,14688,1776,24,24,1860,77.5,8.450894621306873,19.935462713241577,0,48,24,0,0,5.6743621826171875e-05,8.450894621306873,4.684730078311676,19.82938265800476,10.13933565245378,77.5,77.5,16.895089972555503
192.168.0.107,104.18.37.185,443,66,1441,141.13333333333333,195.61692662441556,35353.65619686801,141.81333333333333,188.0256796208114,66,1454,141.81333333333333,10687,10585,0.3491878959980222,0.3491878959980222,64240,66,1454,107081,66328,75,75,10585,141.13333333333333,7.588436150328478,48.640122175216675,0,149,69,2,0,1.6689300537109375e-05,7.588436150328478,1.4415038736074564,48.638164043426514,10.604750286657364,142.49333333333334,142.49333333333334,99.03899898226571
192.168.0.107,20.207.73.82,443,66,18578,1856.6761363636363,2924.50407472522,6112068.008682477,1263.713768115942,2472.259696852755,66,18578,1263.713768115942,22010,326775,4.431108399774223,2.5176752271444447,64240,66,1490,186515,80811,100,176,326775,1856.6761363636363,1.8188964152109104,30.044822692871094,0,275,94,2,2,8.106231689453125e-06,1.8188964152109104,0.14443338827653365,30.001476287841797,3.0291698271228316,220.1,220.1,8781.273540995751
192.168.0.107,185.199.111.154,443,66,1687,518.0769230769231,700.3104622877939,339852.64153846155,372.8076923076923,582.9688169520404,54,1687,372.8076923076923,2958,6735,0.20385430789048056,0.20385430789048056,64240,54,1474,69761,68937,13,13,6735,518.0769230769231,9.684599141783218,45.722031354904175,0,23,4,2,2,7.62939453125e-06,9.684599141783218,2.550841360092163,45.71164131164551,13.738089250270587,227.53846153846155,227.53846153846155,151.99690818326368
192.168.0.107,185.199.111.154,443,66,1470,210.0909090909091,419.8076832420899,177052.25324675324,230.5909090909091,420.77577549896245,54,1474,230.5909090909091,2762,2311,0.17424164191693697,0.17424164191693697,64240,54,1474,68454,68360,11,11,2311,210.0909090909091,10.40498379132621,45.07909178733826,0,19,4,2,2,7.62939453125e-06,10.40498379132621,3.0062246776762462,45.06686091423035,14.749965521372594,251.0909090909091,251.0909090909091,80.3570772222383
192.168.0.107,185.199.111.133,443,66,1470,338.0833333333333,525.5432730842037,196350.6768115942,275.89130434782606,443.11474452064243,66,1474,275.89130434782606,4577,8114,0.12734918760166175,0.11673675530152326,64240,66,1474,76573,72180,22,24,8114,338.0833333333333,13.102736452879057,47.1039981842041,0,45,14,2,0,7.62939453125e-06,13.102736452879057,4.187960232628717,47.09513545036316,18.243013304481067,208.04545454545453,208.04545454545453,67.34118916052871
192.168.0.107,140.82.113.26,443,66,2914,432.1666666666667,812.4987086236824,370649.8054187192,337.6551724137931,608.8101554825766,54,2914,337.6551724137931,4606,5186,2.2152459298004374,3.1382650672172865,64240,54,1490,71536,66338,17,12,5186,432.1666666666667,0.713684278426851,3.7792704105377197,0,25,14,2,2,8.821487426757812e-06,0.713684278426851,0.19346449204853602,3.7792704105377197,0.9305656992776558,270.94117647058823,270.94117647058823,1807.640678717157
192.168.0.107,140.82.113.26,443,74,74,74.0,0.0,133.33333333333334,67.33333333333333,11.547005383792515,54,74,67.33333333333333,128,74,3.865244168226383,7.730488336452766,64240,54,74,64240,65535,2,1,74,74.0,0.18288107624756073,0.2587158679962158,0,1,0,2,0,4.1484832763671875e-05,0.18288107624756073,0.1293579339981079,0.25867438316345215,0.0,64.0,64.0,780.7793219817295
192.168.0.107,140.82.113.26,443,66,2914,361.4,734.8990018071482,331019.2462121212,302.6060606060606,575.3427206562374,54,2914,302.6060606060606,4565,5421,5.082911868405509,6.09949424208661,64240,54,1490,71514,66571,18,15,5421,361.4,0.2966579954899557,1.646012783050537,0,28,15,2,2,1.1682510375976562e-05,0.2966579954899557,0.09222076088190079,1.646012783050537,0.3959604495177514,253.61111111111111,253.61111111111111,3383.863861193161
192.168.0.107,57.144.177.32,443,66,2826,537.8585858585859,678.4379569501052,319059.00184079603,390.78109452736317,564.8530798719221,66,2826,390.78109452736317,25299,53248,5.039494160326259,5.1922061045785695,64240,66,1446,128739,100237,102,99,53248,537.8585858585859,0.44312264219742936,3.974011182785034,0,200,84,2,2,7.152557373046875e-06,0.44312264219742936,0.09822414398193359,3.974011182785034,0.612241285850434,248.02941176470588,248.02941176470588,3998.355028395421
192.168.0.107,57.144.177.32,5222,66,829,158.30769230769232,212.0614630303302,109707.25,219.8,331.22084777380786,66,1446,219.8,3437,2058,20.763778397136647,19.166564674279982,64240,66,1446,69713,68868,12,13,2058,158.30769230769232,0.05570706809156419,0.267350435256958,0,24,9,2,2,1.2636184692382812e-05,0.05570706809156419,0.026087095340092976,0.19884061813354492,0.0916827527441347,286.4166666666667,286.4166666666667,8776.689407097376
