Source IP,Destination IP,Destination Port,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Packet Length Variance,Packet Length Mean,Packet Length Std,Min Packet Length,Max Packet Length,Average Packet Size,Total Length of Fwd Packets,Total Length of Bwd Packets,Bwd Packets/s,Fwd Packets/s,Init_Win_bytes_forward,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Header Length,Bwd Header Length,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Bwd Bytes,Avg Bwd Segment Size,Flow IAT Std,Fwd IAT Max,URG Flag Count,ACK Flag Count,PSH Flag Count,SYN Flag Count,FIN Flag Count,Active Min,Idle Std,Flow IAT Mean,Flow IAT Max,Fwd IAT Std,Fwd Packet Length Mean,Avg Fwd Segment Size,Flow Bytes/s
127.0.0.1,127.0.0.1,8501,54,54,54.0,0.0,133.33333333333334,64.0,11.547005383792515,54,74,64.0,148,108,21129.994962216624,21129.994962216624,65495,74,74,130990,0,2,2,108,54.0,1.9754721417568357e-05,5.412101745605469e-05,0,2,0,2,0,1.7404556274414062e-05,1.9754721417568357e-05,3.155072530110677e-05,5.412101745605469e-05,0.0,74.0,74.0,2704639.355163728
127.0.0.1,127.0.0.1,8501,54,54,54.0,0.0,114.28571428571429,64.0,10.690449676496975,54,74,64.0,296,216,0.0034570375043194565,0.0034570375043194565,65495,74,74,261980,0,4,4,216,54.0,437.32756227474096,1157.0599994659424,0,4,0,4,0,6.67572021484375e-06,437.32756227474096,165.29429336956568,1157.0599830150604,668.0288905975235,74.0,74.0,0.4425008005528904
127.0.0.1,127.0.0.1,51362,72,72,72.0,0.0,6.243032329988852,68.66666666666667,2.498606077393724,66,72,68.66666666666667,13400,7200,0.06802719308764554,0.1360543861752911,611,66,68,122200,93000,200,100,7200,72.0,11.12354672561169,30.00194525718689,0,300,200,0,0,5.4836273193359375e-06,11.12354672561169,4.91638924605073,30.00194525718689,12.956963607743367,67.0,67.0,14.013601776054982
31.209.137.48,192.168.0.107,50962,66,89,77.5,11.539049348362523,132.24919835089327,77.54054054054055,11.499965145638193,66,89,77.54054054054055,11482,11470,0.10131942899508309,0.10131942899508309,74,66,89,10952,90872,148,148,11470,77.5,5.325398266760926,13.380113363265991,0,296,148,0,0,4.315376281738281e-05,5.325398266760926,4.951616094071986,13.10137391090393,3.1380168953444163,77.58108108108108,77.58108108108108,15.712726583075318
192.168.0.107,192.168.0.104,60000,66,497,154.66666666666666,171.64109841954132,17766.81818181818,129.5,133.29222851246124,66,497,129.5,626,928,25.220906459708,25.220906459708,64240,66,288,66748,72325,6,6,928,154.66666666666666,0.0462535674838386,0.11765241622924805,0,11,3,2,2,3.0040740966796875e-05,0.0462535674838386,0.021627079356800426,0.11761212348937988,0.062060113309789264,104.33333333333333,104.33333333333333,6532.214773064373
192.168.0.107,142.250.195.118,443,66,1466,630.0,672.3419043638708,321597.9953846154,399.34615384615387,567.0961077142175,66,1466,399.34615384615387,2823,7560,0.1989133450628688,0.23206556924001362,64240,66,1466,71525,77021,14,12,7560,630.0,9.756488254167449,47.68204045295715,0,25,6,2,2,6.198883056640625e-06,9.756488254167449,2.4131110954284667,47.68204045295715,13.386623233503634,201.64285714285714,201.64285714285714,172.10977181564726
192.168.0.107,142.250.205.35,443,66,1466,476.0,658.9830549161842,312134.27368421055,366.2,558.6897830497802,66,1466,366.2,2564,4760,0.7879346455395508,0.7879346455395508,64240,66,1466,69088,74933,10,10,4760,476.0,2.3276314199674046,10.015159130096436,0,19,4,2,2,1.049041748046875e-05,2.3276314199674046,0.6679688378384239,9.957826614379883,3.3404813085643426,256.4,256.4,577.083334393167
192.168.0.107,192.168.0.104,8009,66,411,124.83333333333333,140.22897941105705,14030.810606060606,118.91666666666667,118.45172268084836,66,411,118.91666666666667,678,749,9.743771779027087,9.743771779027087,64240,66,328,66747,46920,6,6,749,124.83333333333333,0.17274483298914206,0.5811457633972168,0,11,2,2,3,1.1682510375976562e-05,0.17274483298914206,0.0559798153963956,0.5762178897857666,0.256750713387751,113.0,113.0,2317.393721445276
192.168.0.107,142.250.195.46,443,66,1466,694.5,672.181861214251,336739.92,427.0,580.2929604949555,66,1466,427.0,2768,8334,0.19603521267601248,0.22870774812201455,64240,66,1466,71637,77021,14,12,8334,694.5,9.623998858028553,46.46611976623535,0,25,6,2,2,1.1444091796875e-05,9.623998858028553,2.448539695739746,46.46611976623535,13.18106497073813,197.71428571428572,197.71428571428572,181.36524426075755
192.168.0.107,192.168.0.104,8009,66,74,67.6,3.5777087639996634,188826.25454545455,219.63636363636363,434.5414301829626,66,1514,219.63636363636363,2078,338,59.12516880605136,70.95020256726164,64240,66,1514,66750,46474,6,5,338,67.6,0.014225551666674281,0.03576302528381348,0,10,1,2,2,1.5974044799804688e-05,0.014225551666674281,0.00845663547515869,0.035657644271850586,0.017770238647534842,346.3333333333333,346.3333333333333,28569.281567084017
